Title,IMDb,Netflix,Hulu,Prime Video,Disney+,Genres,Runtime
Boy & the World,7.6,1,0,0,0,Animation;Adventure;Family,80
Creep 2,6.4,1,0,0,0,Horror;Thriller,78
Terminator 3: Rise of the Machines,6.3,1,0,0,0,Action;Sci-Fi,109
Unrest,7.7,1,0,0,0,Horror;Thriller,88
Guru,7.7,1,0,0,0,Biography;Drama,166
Louis C.K. 2017,7.6,1,0,0,0,Comedy,74
A Twelve-Year Night,7.6,1,0,0,0,Biography;Crime;Drama;History,122
Happy as Lazzaro,7.6,1,0,0,0,Drama;Fantasy,128
What Happened; Miss Simone?,7.6,1,0,0,0,Documentary;Biography;Music,101
Blue Jay,7.3,1,0,1,0,Drama;Romance,80
1922,6.3,1,0,0,0,Crime;Drama;Horror;Mystery;Thriller,102
Hancock,6.4,1,0,0,0,Action;Fantasy,92
Circus of Books,7.1,1,0,0,0,Documentary;Biography,92
Hail; Caesar!,6.3,1,0,0,0,Comedy;Drama;Music;Mystery,106
The Pixar Story,7.8,1,0,0,0,Documentary,88
Child's Play,6.6,1,0,1,0,Horror;Sci-Fi,90
Springsteen On Broadway,8.5,1,0,0,0,Documentary;Music,153
The Angry Birds Movie 2,6.4,1,0,0,0,Animation;Adventure;Comedy;Family,97
Obvious Child,6.8,1,0,0,0,Comedy;Drama;Romance,84
Awe!,7.8,1,0,0,0,Thriller,150
American Honey,7,1,0,0,0,Drama;Romance,163
Last Breath,7.7,1,0,0,0,Documentary,90
Udta Punjab,7.8,1,0,0,0,Action;Crime;Drama,148
Den of Thieves,7,1,0,0,0,Action;Crime;Drama;Mystery;Thriller,140
Wadjda,7.5,1,0,0,0,Comedy;Drama,98
The Spiderwick Chronicles,6.5,1,0,0,0,Action;Adventure;Drama;Family;Fantasy,96
The Christmas Chronicles,7.1,1,0,1,0,Adventure;Comedy;Family;Fantasy,104
Turbo,6.4,1,0,0,0,Animation;Adventure;Comedy;Family;Sci-Fi;Sport,96
My Girl,6.9,1,0,0,0,Comedy;Drama;Family;Romance,102
22-Jul,6.8,1,0,0,0,Crime;Drama;History;Thriller,143
Adam Sandler: 100% Fresh,7.6,1,0,0,0,Comedy;Music,73
Remember,7.5,1,0,1,0,Drama;Mystery;Thriller,94
Triple Frontier,6.4,1,0,0,0,Action;Adventure;Crime;Drama;Thriller,125
Bombshell: The Hedy Lamarr Story,7.4,1,0,0,0,Documentary;Biography;History;War,88
Paddleton,7.2,1,0,0,0,Comedy;Drama,89
Bad Boys II,6.6,1,0,0,0,Action;Comedy;Crime;Thriller,147
Sour Grapes,7.3,1,0,0,0,Comedy,91
Betting on Zero,7.2,1,0,0,0,Documentary,99
Delhi Belly,7.5,1,0,0,0,Action;Comedy;Crime,103
Being Elmo: A Puppeteer's Journey,7.6,1,0,0,0,Documentary,80
Williams,7.6,1,0,0,0,Documentary;Biography;Sport,109
It Comes at Night,6.2,1,0,0,0,Horror;Mystery,91
Cuba and the Cameraman,8.2,1,0,0,0,Documentary,113
Creep,6.3,1,0,0,0,Horror;Thriller,77
The Interview,6.5,1,1,1,0,Action;Adventure;Comedy,112
Bobby Robson: More Than a Manager,8.2,1,0,0,0,Documentary;Sport,104
Outbreak,6.6,1,0,0,0,Action;Drama;Thriller,127
Black Snake Moan,6.9,1,0,1,0,Drama;Music,116
Bright,6.3,1,0,0,0,Action;Fantasy;Thriller,117
Cargo,6.3,1,0,1,0,Drama;Horror;Sci-Fi;Thriller,105
Even the Rain,7.4,1,0,0,0,Drama;History,103
Candyman,6.6,1,0,0,0,Horror;Thriller,99
Mary and the Witch's Flower,6.8,1,0,0,0,Animation;Adventure;Family;Fantasy,103
Calibre,6.7,1,0,0,0,Drama;Thriller,101
First They Killed My Father,7.2,1,0,0,0,Biography;Drama;History;War,136
Us and Them,7.3,1,0,0,0,Drama;Romance,120
